path,lines,type_declarations,function_declarations,state_wrappers,task_spawns,try_optional,catch_blocks,on_change,on_receive,filemanager_default,userdefaults_standard
Fonic HiFi/Core/Audio/Diagnostics/PlaybackDiagnostics/PlaybackDiagnosticModels.swift,1252,60,0,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Actors/TrackDataActor.swift,1218,7,39,0,0,0,18,0,0,1,0
Fonic HiFi/Core/Audio/Diagnostics/AudioMonitoringService.swift,910,34,0,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Library/LibraryView.swift,818,14,8,21,4,1,1,3,1,0,0
Fonic HiFi/Core/Audio/Diagnostics/AudioMonitorInsights.swift,777,1,35,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Queue/AudioQueueManager.swift,759,1,36,1,0,0,1,0,0,0,0
Fonic HiFi/Presentation/Views/NowPlaying/NowPlayingContent.swift,720,2,10,18,11,0,5,2,0,0,0
Fonic HiFi/Core/Audio/Engines/AVAudioEngineAdapter.swift,707,2,29,0,5,0,3,0,0,0,0
Fonic HiFi/Data/Actors/FileImportProcessor.swift,697,7,28,0,5,1,7,0,0,7,0
Fonic HiFi/Core/Audio/Engine/AudioEngineFacade.swift,691,2,42,4,2,0,4,0,0,0,4
Fonic HiFi/Presentation/Views/Components/GlassModifiers.swift,583,17,34,12,1,0,0,2,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/BitPerfectValidationResult.swift,580,10,0,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/SystemMetricsCollector.swift,544,10,25,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/DACCompatibilityInfo.swift,533,8,5,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Interfaces/AudioMetrics.swift,525,4,3,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Library/PlaylistListView.swift,517,5,13,7,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Services/AudioSessionManager.swift,514,2,25,0,10,0,6,0,0,0,0
Fonic HiFiTests/AudioMonitorInsightsTests.swift,508,4,11,0,0,0,0,0,0,0,0
Fonic HiFiTests/PlaybackDiagnosticsTests.swift,496,2,9,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Services/ImportSession.swift,490,10,22,0,1,3,5,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/AudioMonitor.swift,482,1,28,0,2,0,0,0,0,0,0
Fonic HiFiTests/AudioMonitorTests.swift,474,8,35,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Services/MetadataExtractionService.swift,471,5,15,0,2,2,2,0,0,2,0
Fonic HiFi/FonicHiFiApp.swift,471,4,8,3,3,3,5,0,0,0,1
Fonic HiFi/Presentation/Views/Settings/FileManagerView.swift,470,3,13,12,7,0,4,0,0,7,0
Fonic HiFi/Data/Models/Playlist.swift,461,7,15,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Components/AccessibilityEnhancements.swift,458,10,14,3,1,1,0,1,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/BitPerfectValidationEngine.swift,457,1,9,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/BitPerfectValidatorService.swift,457,19,14,0,0,0,0,0,0,0,0
Fonic HiFiTests/AudioQueueManagerTests.swift,455,4,26,0,1,1,0,0,0,2,1
Fonic HiFi/Core/Audio/Interfaces/AudioDevice.swift,451,4,10,0,0,0,0,0,0,0,0
Fonic HiFiTests/PlaybackControllerTests.swift,437,8,51,0,0,0,0,0,0,0,0
Fonic HiFiTests/ImportPipelineTests.swift,436,7,24,0,2,6,0,0,0,15,0
Fonic HiFi/Core/Audio/Queue/QueueState.swift,428,2,8,0,0,0,1,0,0,2,3
Fonic HiFi/Core/Audio/Engines/AudioKitEngineAdapter.swift,423,1,28,4,2,3,4,0,0,0,0
Fonic HiFi/Data/DataManager+Initialization.swift,421,2,10,0,0,5,11,0,0,2,0
Fonic HiFi/Presentation/Views/Home/HomeView.swift,413,6,4,20,4,0,4,0,0,0,0
Fonic HiFi/Presentation/Views/Search/SearchView.swift,412,8,4,8,3,4,2,1,0,0,0
Fonic HiFi/Core/Audio/Interfaces/AudioSessionInterruption.swift,393,5,5,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Playback/PlaybackStateManager.swift,393,4,19,2,0,0,0,0,0,0,0
Fonic HiFiTests/BitPerfectValidatorTests.swift,387,4,19,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Interfaces/BitPerfectFailureReason.swift,382,2,4,0,0,0,0,0,0,0,0
Fonic HiFiTests/TrackDataActorTests.swift,376,2,18,0,0,1,0,0,0,4,0
Fonic HiFi/Data/Models/Album.swift,371,4,3,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Models/Track.swift,366,2,4,0,0,1,0,0,0,0,0
Fonic HiFi/Data/Services/LibraryImportService.swift,366,4,8,7,2,1,1,0,0,1,0
Fonic HiFi/Core/Audio/Engine/PlaybackController.swift,364,2,19,0,1,1,1,0,0,0,0
Fonic HiFi/Core/Audio/Queue/QueueShuffleMode.swift,352,1,8,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/AudioMonitorReporter.swift,342,1,13,0,0,2,0,0,0,0,1
