symbol,occurrences,file_count,files
TrackDataActor,32,13,Fonic HiFi/Core/Audio/Analytics/ListeningSessionService.swift | Fonic HiFi/Core/Audio/Engine/AudioEngineFacade.swift | Fonic HiFi/Data/DataManager+Initialization.swift | Fonic HiFi/Data/DataManager.swift | Fonic HiFi/Data/Actors/FileImportProcessor.swift | Fonic HiFi/Data/Actors/TrackDataActor.swift | Fonic HiFi/Data/Services/ImportSession.swift | Fonic HiFi/Data/Services/LibraryImportService.swift | Fonic HiFiTests/FileImportProcessorTests.swift | Fonic HiFiTests/ImportPipelineTests.swift | Fonic HiFiTests/ImportSessionTests.swift | Fonic HiFiTests/TrackDataActorTests.swift | Fonic HiFiTests/Support/ImportTestFixtures.swift
FileImportProcessor,34,6,Fonic HiFi/Data/Actors/FileImportProcessor.swift | Fonic HiFi/Data/Actors/TrackDataActor.swift | Fonic HiFi/Data/Services/LibraryImportService.swift | Fonic HiFiTests/FileImportProcessorTests.swift | Fonic HiFiTests/ImportPipelineTests.swift | Fonic HiFiTests/LibraryImportServiceTests.swift
AudioEngineFacade,70,23,Fonic HiFi/ContentView.swift | Fonic HiFi/FonicHiFiApp.swift | Fonic HiFi/Core/Audio/Coordinators/QueueCoordinator.swift | Fonic HiFi/Core/Audio/Coordinators/StateCoordinator.swift | Fonic HiFi/Core/Audio/Engine/AudioEngineFacade.swift | Fonic HiFi/Core/Audio/Engines/AVAudioEngineAdapter.swift | Fonic HiFi/Core/Intents/IntentDependencyProvider.swift | Fonic HiFi/Core/Intents/PlayPauseIntent.swift | Fonic HiFi/Core/Intents/SkipNextIntent.swift | Fonic HiFi/Core/Intents/SkipPreviousIntent.swift | Fonic HiFi/Core/Intents/ToggleShuffleIntent.swift | Fonic HiFi/Core/Services/AudioSettingsService.swift | Fonic HiFi/Core/Services/SleepTimerManager.swift | Fonic HiFi/Presentation/Environment/AudioEnvironment.swift | Fonic HiFi/Presentation/Views/Library/TrackRowView.swift | Fonic HiFi/Presentation/Views/NowPlaying/LiquidGlassMiniPlayer.swift | Fonic HiFi/Presentation/Views/NowPlaying/MorphableArtwork.swift | Fonic HiFi/Presentation/Views/NowPlaying/NowPlayingContent.swift | Fonic HiFi/Presentation/Views/Queue/QueueView.swift | Fonic HiFi/Presentation/Views/Settings/AudioSettingsView.swift | Fonic HiFiTests/AudioEngineFacadeOrchestratorTests.swift | Fonic HiFiTests/AudioEngineFacadeSettingsTests.swift | Fonic HiFiTests/StateCoordinatorTests.swift
AudioQueueManager,62,14,Fonic HiFi/FonicHiFiApp.swift | Fonic HiFi/Core/Audio/Coordinators/QueueCoordinator.swift | Fonic HiFi/Core/Audio/Coordinators/StateCoordinator.swift | Fonic HiFi/Core/Audio/Engine/AudioEngineFacade.swift | Fonic HiFi/Core/Audio/Engine/PlaybackController.swift | Fonic HiFi/Core/Audio/Queue/AudioQueueManager.swift | Fonic HiFi/Core/Services/WidgetDataCoordinator.swift | Fonic HiFiTests/AudioEngineFacadeOrchestratorTests.swift | Fonic HiFiTests/AudioEngineFacadeSettingsTests.swift | Fonic HiFiTests/AudioQueueManagerTests.swift | Fonic HiFiTests/ImportPlaybackIntegrationTests.swift | Fonic HiFiTests/PlaybackControllerTests.swift | Fonic HiFiTests/QueueCoordinatorTests.swift | Fonic HiFiTests/StateCoordinatorTests.swift
AudioUIState,14,6,Fonic HiFi/Core/Audio/Coordinators/StateCoordinator.swift | Fonic HiFi/Core/Audio/Engine/AudioEngineFacade.swift | Fonic HiFi/Core/Audio/Engine/AudioUIState.swift | Fonic HiFi/Core/Audio/Engine/PlaybackController.swift | Fonic HiFiTests/AudioEngineFacadeOrchestratorTests.swift | Fonic HiFiTests/PlaybackControllerTests.swift
LibraryViewModel,13,4,Fonic HiFi/ContentView.swift | Fonic HiFi/Presentation/ViewModels/Library/LibraryViewModel.swift | Fonic HiFi/Presentation/Views/Library/LibraryView.swift | Fonic HiFiTests/LibraryViewModelTests.swift
SmartPlaylistRule,15,2,Fonic HiFi/Data/Models/Playlist.swift | Fonic HiFi/Presentation/Views/Library/PlaylistListView.swift
SystemMetricsCollector,6,3,Fonic HiFi/Core/Audio/Diagnostics/AudioMonitor.swift | Fonic HiFi/Core/Audio/Diagnostics/SystemMetricsCollector.swift | Fonic HiFiTests/AudioMonitoringCollectorsTests.swift
SystemMetricsCollecting,9,5,Fonic HiFi/Core/Audio/Diagnostics/AudioMonitor.swift | Fonic HiFi/Core/Audio/Diagnostics/AudioMonitorMetricsCollector.swift | Fonic HiFi/Core/Audio/Diagnostics/SystemMetricsCollector.swift | Fonic HiFiTests/AudioMonitorMetricsCollectorTests.swift | Fonic HiFiTests/AudioMonitorRuntimeTests.swift
WidgetConstants,61,13,Fonic HiFi Widget/NowPlayingWidget.swift | Fonic HiFi Widget/Shared/WidgetConstants.swift | Fonic HiFi Widget/Shared/WidgetPlaybackState.swift | Fonic HiFi Widget/Shared/WidgetTrackInfo.swift | Fonic HiFi/Data/DataManager+Initialization.swift | Fonic HiFi/Shared/AppGroupManager.swift | Fonic HiFi/Shared/WidgetArtworkCache.swift | Fonic HiFi/Shared/WidgetConstants.swift | Fonic HiFi/Shared/WidgetPlaybackState.swift | Fonic HiFi/Shared/WidgetTrackInfo.swift | Fonic HiFiTests/AppGroupManagerTests.swift | Fonic HiFiTests/WidgetPlaybackStateTests.swift | Fonic HiFiTests/WidgetTrackInfoTests.swift
